tag,sada,grp,instance_cnt,temp,inner_iters,min_temp,cooling,max_cycles,meas_cycles,success_rate,restarts_needed,cycles_needed,worst_success,worst_restarts,worst_cycles,q0.05_success,q0.05_restarts,q0.05_cycles,dest_temp_q0.05,duration
wuf20-71\M,wuf20-71,M,50,2,1000,0.01,0.1,2301,2200,0.954,1,2200,0.68,3,6600,0.74,3,6600,0.02,00:05:51.2629148
wuf20-71\M,wuf20-71,M,50,2,1000,0.01,0.3,4401,3671,0.9852,1,3671,0.88,2,7342,0.94,2,7342,0.0162,00:14:20.4332842
wuf20-71\M,wuf20-71,M,50,2,1000,0.00333,0.3,5314,4667,0.9824,1,4667,0.86,2,9334,0.9,2,9334,0.0162,00:07:50.5879774
wuf20-71\M,wuf20-71,M,50,2,1000,0.0333,0.3,3402,2735,0.8472,2,5470,0.64,3,8205,0.66,3,8205,0.054,00:14:06.6764436
wuf20-71\M,wuf20-71,M,50,2,1000,0.001,0.3,6313,5666,0.9884,1,5666,0.9,2,11332,0.92,2,11332,0.0162,00:15:35.1990840
wuf20-71\M,wuf20-71,M,50,2,1000,0.01,0.7,14855,11044,0.9988,1,11044,0.96,1,11044,0.98,1,11044,0.056495,00:21:11.1317600
wuf20-71\M,wuf20-71,M,20,0.05,500,0.01,0.95,15689,14356,0.9635,1,14356,0.73,3,43068,0.73,3,43068,0.0428687,
wuf20-71\M,wuf20-71,M,50,2,1000,0.1,0.3,2488,1960,0.3016,9,17640,0.12,24,47040,0.14,20,39200,0.18,00:04:53.3014067
wuf20-71\M,wuf20-71,M,20,0.1,500,0.01,0.95,22445,19210,0.96925,1,19210,0.82,2,38420,0.82,2,38420,,
wuf20-71\M,wuf20-71,M,50,2,1000,0.1,0.9,28433,19383,0.9744,1,19383,0.82,2,38766,0.88,2,38766,0.14358,00:51:39.2204124
wuf20-71\M,wuf20-71,M,20,0.2,500,0.01,0.95,29202,24240,0.988,1,24240,0.895,2,48480,0.895,2,48480,,
wuf20-71\M,wuf20-71,M,50,2,1000,0.0333,0.9,38870,27084,1,1,27084,1,1,27084,1,1,27084,0.129222,01:04:28.3441933
wuf20-71\M,wuf20-71,M,50,2,1000,0.333,0.9,17015,11636,0.666,3,34908,0.4,6,69816,0.42,6,69816,0.333544,00:39:24.4213151
wuf20-71\M,wuf20-71,M,50,2,1000,0.01,0.9,50288,38069,1,1,38069,1,1,38069,1,1,38069,0.116299,00:47:10.6004056
wuf20-71\M,wuf20-71,M,20,2,500,0.01,0.95,51647,38994,1,1,38994,1,1,38994,1,1,38994,,
wuf20-71\M,wuf20-71,M,50,2,1000,0.333,0.3,1489,1256,0.076,38,47728,0.02,149,187144,0.02,149,187144,0.6,00:04:41.8875767
wuf20-71\M,wuf20-71,M,50,2,1000,0.00333,0.9,60724,48020,1,1,48020,1,1,48020,1,1,48020,0.129222,01:52:08.2362493
wuf20-71\M,wuf20-71,M,20,20,500,0.01,0.95,74093,51047,1,1,51047,1,1,51047,1,1,51047,,
wuf20-71\M,wuf20-71,M,50,2,1000,0.001,0.9,72142,60014,0.9996,1,60014,0.98,1,60014,1,1,60014,0.116299,05:19:11.3050342
wuf20-71\M,wuf20-71,M,20,200,500,0.01,0.95,96538,62415,0.99975,1,62415,0.995,1,62415,0.995,1,62415,,
wuf20-71\M,wuf20-71,M,50,2,1000,0.01,0.95,103295,77678,1,1,77678,1,1,77678,1,1,77678,0.231964,01:55:30.9030153
wuf20-71\M,wuf20-71,M,50,2,1000,0.01,0.99,527178,394497,1,1,394497,1,1,394497,1,1,394497,0.717497,05:59:24.8973053
wuf20-71\N,wuf20-71,N,50,2,500,0.01,0.1,1151,1103,0.84904,2,2206,0.286,9,9927,0.294,9,9927,0.02,03:03:13.7022000
wuf20-71\N,wuf20-71,N,50,2,1000,0.01,0.3,4401,3683,0.9744,1,3683,0.6,4,14732,0.86,2,7366,0.0162,00:07:03.5320293
wuf20-71\N,wuf20-71,N,50,2,1000,0.01,0.1,2301,2206,0.9372,2,4412,0.5,5,11030,0.6,4,8824,0.02,00:11:05.9905361
wuf20-71\N,wuf20-71,N,50,2,1000,0.00333,0.3,5314,4678,0.9712,1,4678,0.56,4,18712,0.64,3,14034,0.0162,00:08:36.6708898
wuf20-71\N,wuf20-71,N,50,2,1000,0.0333,0.3,3402,2743,0.8564,2,5486,0.46,5,13715,0.6,4,10972,0.054,00:13:31.8301202
wuf20-71\N,wuf20-71,N,50,2,1000,0.001,0.3,6313,5680,0.9692,1,5680,0.6,4,22720,0.66,3,17040,0.0162,00:07:39.4589205
wuf20-71\N,wuf20-71,N,50,2,1000,0.01,0.7,14855,11088,0.9972,1,11088,0.94,2,22176,0.96,1,11088,0.056495,00:33:24.9021250
wuf20-71\N,wuf20-71,N,20,0.05,500,0.01,0.95,15689,14231,0.958,1,14231,0.545,4,56924,0.545,4,56924,0.045125,
wuf20-71\N,wuf20-71,N,50,2,1000,0.1,0.3,2488,1964,0.3144,8,15712,0.12,24,47136,0.16,18,35352,0.18,00:12:48.0869008
wuf20-71\N,wuf20-71,N,20,0.1,500,0.01,0.95,22445,19073,0.95525,1,19073,0.63,4,76292,0.63,4,76292,,
wuf20-71\N,wuf20-71,N,50,2,1000,0.1,0.9,28433,19442,0.9784,1,19442,0.74,3,58326,0.92,2,38884,0.14358,00:52:16.0078116
wuf20-71\N,wuf20-71,N,20,0.2,500,0.01,0.95,29202,24088,0.9712,1,24088,0.595,4,96352,0.595,4,96352,,
wuf20-71\N,wuf20-71,N,50,2,1000,0.0333,0.9,38870,27180,0.9996,1,27180,0.98,1,27180,1,1,27180,0.129222,01:12:25.2388370
wuf20-71\N,wuf20-71,N,50,2,1000,0.333,0.9,17015,11660,0.6724,3,34980,0.32,8,93280,0.38,7,81620,0.333544,00:39:13.0328105
wuf20-71\N,wuf20-71,N,50,2,1000,0.333,0.3,1489,1257,0.1048,28,35196,0,1000000,1257000000,0.02,149,187293,0.6,00:09:46.0379274
wuf20-71\N,wuf20-71,N,50,2,1000,0.01,0.9,50288,38230,1,1,38230,1,1,38230,1,1,38230,0.129222,00:28:01.6098329
wuf20-71\N,wuf20-71,N,20,2,500,0.01,0.95,51647,38822,0.99875,1,38822,0.98,1,38822,0.98,1,38822,,
wuf20-71\N,wuf20-71,N,50,2,1000,0.00333,0.9,60724,48180,0.9996,1,48180,0.98,1,48180,1,1,48180,0.129222,01:18:48.1210516
wuf20-71\N,wuf20-71,N,20,20,500,0.01,0.95,74093,50857,1,1,50857,1,1,50857,1,1,50857,,
wuf20-71\N,wuf20-71,N,50,2,1000,0.001,0.9,72142,60175,1,1,60175,1,1,60175,1,1,60175,0.129222,01:18:37.6995882
wuf20-71\N,wuf20-71,N,20,200,500,0.01,0.95,96538,62219,0.9995,1,62219,0.99,1,62219,0.99,1,62219,,
wuf20-71\N,wuf20-71,N,50,2,1000,0.01,0.95,103295,77996,1,1,77996,1,1,77996,1,1,77996,0.220366,01:54:58.7749462
wuf20-71\N,wuf20-71,N,50,2,1000,0.01,0.99,527178,396126,1,1,396126,1,1,396126,1,1,396126,0.710322,05:58:12.1015949
wuf20-71\R,wuf20-71,R,50,2,1000,0.0333,0.3,3402,2780,0.6156,4,11120,0.1,29,80620,0.16,18,50040,0.054,00:13:32.1188267
wuf20-71\R,wuf20-71,R,50,2,500,0.01,0.1,1151,1118,0.3798,7,7826,0.044,67,74906,0.054,54,60372,0.02,03:03:34.5803987
wuf20-71\R,wuf20-71,R,50,2,1000,0.01,0.1,2301,2241,0.4976,5,11205,0.06,49,109809,0.08,36,80676,0.02,00:12:03.6645035
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.001,0.3,6313,5742,0.5856,4,22968,0.02,149,855558,0.06,49,281358,0.0162,00:15:55.9100489
wuf20-71\R,wuf20-71,R,50,2,1000,0.01,0.3,4401,3742,0.6848,3,11226,0.12,24,89808,0.12,24,89808,0.0162,00:14:18.2159955
wuf20-71\R,wuf20-71,R,50,2,1000,0.01,0.7,14855,11298,0.896,2,22596,0.22,13,146874,0.32,8,90384,0.0395465,00:21:15.5828767
wuf20-71\R,wuf20-71,R,50,2,1000,0.0333,0.9,38870,27588,0.9668,1,27588,0.38,7,193116,0.68,3,82764,0.0847823,01:14:10.5920243
wuf20-71\R,wuf20-71,R,50,2,1000,0.001,0.3,6313,5738,0.688,3,17214,0.06,49,281162,0.16,18,103284,0.0162,00:07:43.2301638
wuf20-71\R,wuf20-71,R,50,2,1000,0.01,0.9,50288,38982,0.9704,1,38982,0.32,8,311856,0.74,3,116946,0.0763041,00:39:40.8451216
wuf20-71\R,wuf20-71,R,50,2,1000,0.1,0.9,28433,19523,0.88,2,39046,0.36,7,136661,0.44,6,117138,0.129222,00:52:38.5892854
wuf20-71\Q,wuf20-71,Q,50,2,500,0.01,0.1,1151,1119,0.30856,9,10071,0.02,149,166731,0.028,106,118614,0.02,06:27:35.2799745
wuf20-71\R,wuf20-71,R,50,2,1000,0.00333,0.3,5314,4737,0.6876,3,14211,0.02,149,705813,0.1,29,137373,0.0162,00:08:37.6903405
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.1,0.3,2488,1974,0.1764,16,31584,0,1000000,1974000000,0.04,74,146076,0.18,00:04:54.5256745
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.1,0.9,28433,19557,0.8112,2,39114,0.12,24,469368,0.32,8,156456,0.116299,00:51:17.4387838
wuf20-71\R,wuf20-71,R,20,0.1,500,0.01,0.95,22445,20010,0.824,2,40020,0.07,42,840420,0.07,42,840420,,
wuf20-71\Q,wuf20-71,Q,20,0.05,500,0.01,0.95,15689,14742,0.862,2,29484,0.24,11,162162,0.24,11,162162,0.033171,
wuf20-71\R,wuf20-71,R,50,2,1000,0.333,0.9,17015,11645,0.5416,4,46580,0.08,36,419220,0.2,14,163030,0.333544,00:39:29.8790143
wuf20-71\R,wuf20-71,R,50,2,1000,0.00333,0.9,60724,48931,0.9756,1,48931,0.34,8,391448,0.82,2,97862,0.0686737,01:19:27.7032108
wuf20-71\Q,wuf20-71,Q,20,0.2,500,0.01,0.95,29202,24871,0.944,2,49742,0.335,8,198968,0.335,8,198968,,
